gene_id	gene_name	gene_biotype	N545FJ_1_cpm	N545FJ_1_count	N545FJ_2_cpm	N545FJ_2_count	N545FJ_3_cpm	N545FJ_3_count	N545FJ_4_cpm	N545FJ_4_count	N545FJ_5_cpm	N545FJ_5_count	N545FJ_6_cpm	N545FJ_6_count
ENSG00000262539		processed_pseudogene	0.10760146006099743	1.0	0.07273633488111163	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262543	SMIM28	protein_coding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262560		protein_coding	0.16140219009149614	1.5	0.14547266976222326	1.0	0.4304581454812393	4.5	0.31977978343894825	3.0	0.34935301428777765	3.5	0.5607228607355151	6.0
ENSG00000262561		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262566		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262576	PCDHGA4	protein_coding	0.019368262810979534	0.18	0.013092540278600094	0.09	0.013392031192749667	0.14	0.043703237069989596	0.41	0.008983363224542854	0.09	0.008410842911032728	0.09
ENSG00000262580		lncRNA	1.9368262810979535	18.0	1.600199367384456	11.0	1.9131473132499521	20.0	0.9593393503168448	9.0	1.5970423510298406	16.0	0.9345381012258587	10.0
ENSG00000262583	TMEM231P1	transcribed_unprocessed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.026648315286579023	0.25	0.0	0.0	0.0	0.0
ENSG00000262585	LINC01979	lncRNA	2.0444277411589513	19.0	1.600199367384456	11.0	0.19131473132499524	2.0	0.21318652229263219	2.0	0.0	0.0	0.09345381012258586	1.0
ENSG00000262587		transcribed_unprocessed_pseudogene	0.0	0.0	0.14547266976222326	1.0	0.04782868283124881	0.5	0.053296630573158046	0.5	0.0	0.0	0.0	0.0
ENSG00000262609	BTF3P14	processed_pseudogene	0.10760146006099743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262619	LINC00621	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.10659326114631609	1.0	0.0	0.0	0.0	0.0
ENSG00000262623		processed_pseudogene	0.10760146006099743	1.0	0.14547266976222326	1.0	0.0	0.0	0.21318652229263219	2.0	0.0	0.0	0.0	0.0
ENSG00000262624		lncRNA	0.3228043801829923	3.0	0.0	0.0	0.09565736566249762	1.0	0.10659326114631609	1.0	0.0	0.0	0.1869076202451717	2.0
ENSG00000262628	OR1D5	protein_coding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262633		protein_coding	2.549078588845029	23.69	1.4547266976222326	10.0	2.1551604483760713	22.53	2.4633702650913647	23.11	2.9056189274049165	29.11	2.3055054957241934	24.67
ENSG00000262636		processed_pseudogene	0.10760146006099743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262648	PHB1P15	processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262651		processed_pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262652		lncRNA	0.0	0.0	0.14547266976222326	1.0	0.09565736566249762	1.0	0.0	0.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262655	SPON1	protein_coding	0.8608116804879794	8.0	1.018308688335563	7.0	0.3826294626499905	4.0	1.0659326114631609	10.0	0.9981514693936504	10.0	0.46726905061292934	5.0
ENSG00000262660		protein_coding	8.446714614788297	78.5	10.983186567047857	75.5	7.891732667156053	82.5	17.26810830570321	162.0	20.362289975630468	204.0	20.606565132030184	220.5
ENSG00000262662		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000262663		lncRNA	0.0	0.0	0.14547266976222326	1.0	0.09565736566249762	1.0	0.42637304458526437	4.0	0.09981514693936504	1.0	0.0	0.0
ENSG00000262664	OVCA2	protein_coding	26.685162095127364	248.0	27.421598250179084	188.5	21.857708053880707	228.5	27.50106137574955	258.0	22.832714862379756	228.75	26.26052064444663	281.0
ENSG00000262678	CAMTA2-AS1	lncRNA	3.3356452618909205	31.0	2.6185080557200187	18.0	2.7740636042124307	29.0	2.771424789804218	26.0	3.9926058775746016	40.0	4.485782885884121	48.0
ENSG00000262681		lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
