EnsemblID	gene_name	logFC	logCPM	PValue	FDR	F	gene_biotype	GroupA_AvgCPM	GroupB_AvgCPM	GroupA_stdv	GroupB_stdv	log10FDR	alias	mygene_name	summary
	SOX2	1.37687	-1.15319				protein_coding								
	PIEZO1-AS1	1.37687	-1.15319				lncRNA								
	RTN4RL1	1.37687	-1.15319				protein_coding								
	C3orf70	1.37687	-1.15319				protein_coding								
	RPL4P6	1.37687	-1.15319				processed_pseudogene								
	ENSG00000236075	1.37687	-1.15319				lncRNA								
	MTND4P14	1.37687	-1.15319				unprocessed_pseudogene								
	ENSG00000237568	1.37687	-1.15319				lncRNA								
	ENSG00000246477	1.37687	-1.15319				lncRNA								
	SELENOP	1.37687	-1.15319				protein_coding								
	ENSG00000250899	1.37687	-1.15319				lncRNA								
	ENSG00000251095	1.37687	-1.15319				lncRNA								
	LINC01843	1.37687	-1.15319				lncRNA								
	MRPS36P4	1.37687	-1.15319				processed_pseudogene								
	ENSG00000255882	1.37687	-1.15319				lncRNA								
	ENSG00000256116	1.37687	-1.15319				lncRNA								
	ENSG00000258072	1.37687	-1.15319				transcribed_processed_pseudogene								
	ENSG00000259797	1.37687	-1.15319				lncRNA								
	DSP-AS1	1.37687	-1.15319				lncRNA								
	ENSG00000267024	1.37687	-1.15319				lncRNA								
	ENSG00000267523	1.37687	-1.15319				lncRNA								
	ENSG00000268536	1.37687	-1.15319				lncRNA								
	ENSG00000270083	1.37687	-1.15319				lncRNA								
	ENSG00000272625	1.37687	-1.15319				lncRNA								
	ENSG00000272911	1.37687	-1.15319				lncRNA								
	ENSG00000279641	1.37687	-1.15319				TEC								
	LINC02348	1.37687	-1.15319				lncRNA								
	ENSG00000287807	1.37687	-1.15319				lncRNA								
	ENSG00000288814	1.37687	-1.15319				lncRNA								
	ENSG00000289453	1.37687	-1.15319				lncRNA								
	ENSG00000290009	1.37687	-1.15319				lncRNA								
	ENSG00000294211	1.37687	-1.15319				lncRNA								
	ENSG00000294395	1.37687	-1.15319				lncRNA								
	ENSG00000294813	1.37687	-1.15319				lncRNA								
	ENSG00000295583	1.37687	-1.15319				lncRNA								
	ENSG00000295813	1.37687	-1.15319				lncRNA								
	ENSG00000296501	1.37687	-1.15319				lncRNA								
	ENSG00000302701	1.37687	-1.15319				lncRNA								
	ENSG00000304265	1.37687	-1.15319				lncRNA								
	ENSG00000305623	1.37687	-1.15319				lncRNA								
	ENSG00000306962	1.37687	-1.15319				lncRNA								
	ENSG00000307322	1.37687	-1.15319				lncRNA								
	ENSG00000307628	1.37687	-1.15319				lncRNA								
	ENSG00000307700	1.37687	-1.15319				lncRNA								
	ENSG00000308793	1.37687	-1.15319				lncRNA								
	ENSG00000310481	1.37687	-1.15319				lncRNA								
	CD302	1.37372	0.456171				protein_coding								
	VDAC1P2	1.36829	-0.912169				processed_pseudogene								
	H2BC9	1.36463	0.358571				protein_coding								
	DDX4	1.34951	0.438747				protein_coding								
	LINC00951	1.34574	-0.090551				lncRNA								
	ENSG00000273076	1.34574	-0.090551				lncRNA								
	ENSG00000276007	1.34574	-0.090551				lncRNA								
	ENSG00000286964	1.34574	-0.090551				lncRNA								
	ENSG00000286965	1.34574	-0.090551				lncRNA								
	ENSG00000307937	1.3441	1.1771				lncRNA								
	PPP4R3B-DT	1.336	0.514701				lncRNA								
	HAVCR1	1.33124	0.939777				protein_coding								
	VWDE	1.33124	0.939777				protein_coding								
	ADGRE2	1.33004	-0.381445				protein_coding								
	ENSG00000205041	1.32523	1.75994				lncRNA								
	PFKFB4	1.32385	0.586855				protein_coding								
	ENSG00000257199	1.32114	-0.33628				processed_pseudogene								
	KDM7A	1.31597	2.3225				protein_coding								
	PGLS-DT	1.31395	1.04598				lncRNA								
	SNORA74	1.31288	0.655571				snoRNA								
	LAMB2	1.31084	0.118634				protein_coding								
	ENSG00000246225	1.31084	0.118634				lncRNA								
	TSPAN6	1.30546	-0.746199				protein_coding								
	CYTH3	1.30546	-0.746199				protein_coding								
	PPP2R3A	1.30546	-0.746199				protein_coding								
	UGGT2	1.30546	-0.746199				protein_coding								
	ADGRB2	1.30546	-0.746199				protein_coding								
	GARNL3	1.30546	-0.746199				protein_coding								
	NR2F1	1.30546	-0.746199				protein_coding								
	CIMIP2A	1.30546	-0.746199				protein_coding								
	SYNE3-AS1	1.30546	-0.746199				lncRNA								
	ENSG00000266237	1.30546	-0.746199				lncRNA								
	ENSG00000272033	1.30546	-0.746199				lncRNA								
	ENSG00000272588	1.30546	-0.746199				lncRNA								
	H2BC7	1.30546	-0.746199				protein_coding								
	ENSG00000286872	1.30546	-0.746199				lncRNA								
	ENSG00000288890	1.30546	-0.746199				lncRNA								
	ENSG00000289030	1.30546	-0.746199				lncRNA								
	ALOX12P2	1.30546	-0.746199				lncRNA								
	ENSG00000293992	1.30546	-0.746199				lncRNA								
	ENSG00000296209	1.30546	-0.746199				lncRNA								
	ENSG00000302623	1.30546	-0.746199				lncRNA								
	SPTLC1P1	1.30072	-0.817899				transcribed_processed_pseudogene								
	IGF2BP3	1.30038	0.48928				protein_coding								
	STYK1	1.29518	1.73852				protein_coding								
	SCNN1D	1.29131	-0.129402				protein_coding								
	RN7SL559P	1.28448	0.301293				misc_RNA								
	CHMP4BP1	1.28448	0.301293				protein_coding								
	ENSG00000258232	1.28182	-0.578966				lncRNA								
	RPL9P32	1.28057	-1.22206				processed_pseudogene								
	ENSG00000290110	1.27781	0.901745				lncRNA								
	TIMP3	1.27454	1.32446				protein_coding								
	RNU4ATAC	1.2713	1.91707				snRNA								
	ENSG00000223522	1.26387	0.463403				lncRNA								
	MSC-AS1	1.26387	0.463403				lncRNA								
	ENSG00000270022	1.26387	0.463403				lncRNA								
	ENSG00000225195	1.26296	-0.429121				lncRNA								
	LINC01277	1.26296	-0.429121				lncRNA								
	ENSG00000233230	1.26296	-0.429121				lncRNA								
	LINC02605	1.26296	-0.429121				lncRNA								
	ENSG00000262380	1.26296	-0.429121				lncRNA								
	ENSG00000290817	1.26296	-0.429121				lncRNA								
	ENSG00000303860	1.26296	-0.429121				lncRNA								
	SYN1	1.26148	-1.23556				protein_coding								
	RPL19P21	1.26148	-1.23556				processed_pseudogene								
	CCDC200	1.26148	-1.23556				protein_coding								
	ENSG00000260349	1.26148	-1.23556				lncRNA								
	RNVU1-24	1.25875	-0.0306237				snRNA								
	H1-5	1.25709	1.7797				protein_coding								
	FMNL2	1.25248	1.11197				protein_coding								
	ENSG00000260290	1.25242	0.18145				processed_pseudogene								
	SNORD57	1.24756	-0.293385				snoRNA								
	NOD2	1.2473	0.609124				protein_coding								
	TRBV4-2	1.24038	0.222392				TR_V_gene								
	HIPK1-AS1	1.23931	0.0680178				lncRNA								
	HSP90AA3P	1.23633	-0.671022				processed_pseudogene								
	TFAP2E	1.23475	-0.169329				protein_coding								
	B3GALT2	1.23475	-0.169329				protein_coding								
	RNU6-125P	1.23475	-0.169329				snRNA								
	ALDH1L1-AS1	1.23475	-0.169329				lncRNA								
	ENSG00000257545	1.23475	-0.169329				lncRNA								
	ENSG00000267397	1.23475	-0.169329				lncRNA								
	ENSG00000287009	1.23475	-0.169329				lncRNA								
	ENSG00000287530	1.23475	-0.169329				lncRNA								
	ENSG00000298199	1.23475	-0.169329				lncRNA								
	Y_RNA	1.2337	0.741466				misc_RNA								
	ENSG00000265801	1.2337	0.741466				lncRNA								
	ENSG00000289119	1.2337	0.741466				lncRNA								
	ENSG00000306812	1.2337	0.741466				lncRNA								
	HEATR4	1.23332	1.29542				protein_coding								
	SH3D19	1.23155	1.71094				protein_coding								
	TNS2-AS1	1.22828	0.558				lncRNA								
	ENSG00000302686	1.22539	1.37909				lncRNA								
	ENSG00000274422	1.22486	2.42448				lncRNA								
	ENSG00000309828	1.22004	-1.26468				lncRNA								
	TMEM132A	1.21805	-0.807885				protein_coding								
	ETV5	1.21805	-0.807885				protein_coding								
	ENSG00000286107	1.21805	-0.807885				lncRNA								
	ENSG00000291045	1.21805	-0.807885				lncRNA								
	LINC02449	1.215	-0.183159				lncRNA								
	DPF1	1.21465	0.0507434				protein_coding								
	ZFHX4	1.21465	0.0507434				protein_coding								
	RNF32-AS1	1.21465	0.0507434				lncRNA								
	AGA-DT	1.21465	0.0507434				lncRNA								
	ENSG00000254363	1.21465	0.0507434				lncRNA								
	ENSG00000267469	1.21197	1.53312				lncRNA								
	TMEM45B	1.20409	-0.470422				protein_coding								
	ENSG00000290767	1.20386	-0.633771				lncRNA								
	YBX2	1.20013	-1.27858				protein_coding								
	ENSG00000274751	1.20013	-1.27858				lncRNA								
	NAV2	1.19962	0.241646				protein_coding								
	LINC03014	1.19962	0.241646				lncRNA								
	ENSG00000266498	1.19962	0.241646				lncRNA								
	ENSG00000267655	1.19962	0.241646				lncRNA								
	U1	1.19962	0.241646				snRNA								
	ENSG00000274292	1.19962	0.241646				lncRNA								
	ENSG00000305541	1.19962	0.241646				lncRNA								
	ENSG00000258337	1.19341	2.96034				lncRNA								
	DGKG	1.1926	-0.478425				protein_coding								
	ENSG00000309127	1.19202	1.79921				lncRNA								
	IL26	1.19157	2.98725				protein_coding								
	LRP12	1.19089	1.26579				protein_coding								
	MAGEA4	1.18794	0.410214				protein_coding								
	POM121B	1.18708	-0.829474				unprocessed_pseudogene								
	TRBV5-4	1.18708	-0.829474				TR_V_gene								
	G0S2	1.18523	3.58928				protein_coding								
	ENSG00000233558	1.18345	-0.338193				processed_pseudogene								
	ZNF346-IT1	1.17974	1.06112				lncRNA								
	PALD1	1.1786	0.56113				protein_coding								
	PIK3AP1	1.1786	0.56113				protein_coding								
	ENSG00000254936	1.1786	0.56113				lncRNA								
	DSP	1.17788	2.02377				protein_coding								
	KANSL1L-AS1	1.17587	-0.210391				lncRNA								
	CASC19	1.17461	0.631054				lncRNA								
	LINC01010	1.17227	-0.839747				lncRNA								
	CHD1-DT	1.17098	0.697744				lncRNA								
	FAM135A	1.16828	1.64952				protein_coding								
	ENSG00000273108	1.16404	0.0155614				lncRNA								
	ENSG00000291034	1.16404	0.0155614				lncRNA								
	SNORD60	1.16126	-0.983101				snoRNA								
	ENSG00000235843	1.16083	1.27501				lncRNA								
	IGF2BP2	1.15523	0.210871				protein_coding								
	NECTIN2	1.15523	0.210871				protein_coding								
	EFNB2	1.15465	1.04376				protein_coding								
	TOB1-AS1	1.15465	1.04376				lncRNA								
	ENSG00000305635	1.15465	1.04376				lncRNA								
	CEP112	1.15162	0.29943				protein_coding								
	DLEU2L	1.1516	1.638				lncRNA								
	ENSG00000293482	1.14842	0.382865				lncRNA								
	RPL24P2	1.14003	0.943355				processed_pseudogene								
	ENSG00000289702	1.13892	1.48249				lncRNA								
	AMPH	1.13605	-1.32293				protein_coding								
	GRHL2	1.13605	-1.32293				protein_coding								
	KCNH4	1.13605	-1.32293				protein_coding								
	CD40	1.13605	-1.32293				protein_coding								
	FCER2	1.13605	-1.32293				protein_coding								
	CCL24	1.13605	-1.32293				protein_coding								
	KRT23	1.13605	-1.32293				protein_coding								
	PPARGC1A	1.13605	-1.32293				protein_coding								
